Immaculata University (PA)	www.immaculata.edu	98.129.134.83	29.489	-98.399
Indian River State College (FL)	www.irsc.edu	64.56.91.39	27.391	-80.377
Indiana Institute of Technology (IN)	www.indianatech.edu	216.70.85.211	34.02	-118.393
Indiana State University (IN)	cms.indstate.edu	139.102.15.113	39.471	-87.411
Indiana University–Bloomington (IN)	www.iub.edu	129.79.78.186	39.25	-86.456
Indiana University–East (IN)	www.iue.edu	129.79.78.75	39.25	-86.456
Indiana University–Kokomo (IN)	www.iuk.edu	129.79.78.183	39.25	-86.456
Indiana University–Northwest (IN)	www.iun.edu	129.79.78.179	39.25	-86.456
Indiana University–South Bend (IN)	www.iusb.edu	134.68.23.7	39.785	-86.166
Indiana University–Southeast (IN)	www.ius.edu	134.68.22.79	39.785	-86.166
